Concept_Wiki_Title	Aliases	Wiki_URL
A* search algorithm	A* search___A star search	https://en.wikipedia.org/wiki/A*_search_algorithm
A/B Testing	AB testing	https://en.wikipedia.org/wiki/A/B_testing
Activation function	Activation Functions	https://en.wikipedia.org/wiki/Activation_function
AdaBoost	Adaboost	https://en.wikipedia.org/wiki/AdaBoost
AI takeover	AI uprising	https://en.wikipedia.org/wiki/AI_takeover
Algebra		https://en.wikipedia.org/wiki/Algebra
Alogorithm		https://en.wikipedia.org/wiki/Algorithm
Amazon Relational Database Service	Amazon RDS	https://en.wikipedia.org/wiki/Amazon_Relational_Database_Service
Amazon S3		https://en.wikipedia.org/wiki/Amazon_S3
Amazon Sagemaker		https://en.wikipedia.org/wiki/Amazon_SageMaker
Anaconda	conda	https://en.wikipedia.org/wiki/Anaconda_(Python_distribution)
Analysis of variance	ANOVA___Analysis_of_Variance	https://en.wikipedia.org/wiki/Analysis_of_variance
Analytics		https://en.wikipedia.org/wiki/Analytics
Apache Airflow		https://en.wikipedia.org/wiki/Apache_Airflow
Apache Hadoop	Hadoop	https://en.wikipedia.org/wiki/Apache_Hadoop
Apache Hive	Hive	https://en.wikipedia.org/wiki/Apache_Hive
Apache Kafka	Kafka	https://en.wikipedia.org/wiki/Apache_Kafka
Apache MXNet	MXNet	https://en.wikipedia.org/wiki/Apache_MXNet
Apache Spark	Spark	https://en.wikipedia.org/wiki/Apache_Spark
Apriori algorithm	Apriori method	https://en.wikipedia.org/wiki/Apriori_algorithm
Artificial Intelligence	AI	https://en.wikipedia.org/wiki/Artificial_intelligence
Artificial Intelligence in healthcare	AI in Healthcare	https://en.wikipedia.org/wiki/Artificial_intelligence_in_healthcare
Artificial neural networks	ANN	https://en.wikipedia.org/wiki/Artificial_neural_network
Association Rules	Association Rule Mining	https://en.wikipedia.org/wiki/Association_rule_learning
Attention		https://en.wikipedia.org/wiki/Attention
AutoAI	IBM AutoAI	https://en.wikipedia.org/wiki/AutoAI
Autoencoder		https://en.wikipedia.org/wiki/Autoencoder
Automated machine learning	AML	https://en.wikipedia.org/wiki/Automated_machine_learning
Autoregressive integrated moving average	ARIMA	https://en.wikipedia.org/wiki/Autoregressive_integrated_moving_average
AVL Tree		https://en.wikipedia.org/wiki/AVL_tree
Backpropagation	Backprop	https://en.wikipedia.org/wiki/Backpropagation
Backtracking		https://en.wikipedia.org/wiki/Backtracking
Batch Normalization	Batch Norm	https://en.wikipedia.org/wiki/Batch_normalization
Bayesian inference		https://en.wikipedia.org/wiki/Bayesian_inference
Bayesian statistics		https://en.wikipedia.org/wiki/Bayesian_statistics
BERT (language model)	BERT	https://en.wikipedia.org/wiki/BERT_(language_model)
Bias–variance_tradeoff	The Bias-variance dilemma	https://en.wikipedia.org/wiki/Bias%E2%80%93variance_tradeoff
Big Data		https://en.wikipedia.org/wiki/Big_data
Binary classification		https://en.wikipedia.org/wiki/Binary_classification
Binary search tree		https://en.wikipedia.org/wiki/Binary_search_tree
Boltzmann Machine		https://en.wikipedia.org/wiki/Boltzmann_machine
Boosting (machine learning)		https://en.wikipedia.org/wiki/Boosting_(machine_learning)
Box plot		https://en.wikipedia.org/wiki/Box_plot
Business Analytics		https://en.wikipedia.org/wiki/Business_analytics
Business intelligence		https://en.wikipedia.org/wiki/Business_intelligence
Canny edge Detector	Canny edge Detection	https://en.wikipedia.org/wiki/Canny_edge_detector
Categorical variable		https://en.wikipedia.org/wiki/Categorical_variable
Causal model		https://en.wikipedia.org/wiki/Causal_model
Central limit theorem		https://en.wikipedia.org/wiki/Central_limit_theorem
Central tendency		https://en.wikipedia.org/wiki/Central_tendency
Chart		https://en.wikipedia.org/wiki/Chart
Chatbot		https://en.wikipedia.org/wiki/Chatbot
Chi-squared test		https://en.wikipedia.org/wiki/Chi-squared_test
Choice modeling		https://en.wikipedia.org/wiki/Choice_modelling
Class (computer programming)	Classes	https://en.wikipedia.org/wiki/Class_(computer_programming)
Cloud Computing		https://en.wikipedia.org/wiki/Cloud_computing
Cluster Analysis		https://en.wikipedia.org/wiki/Cluster_analysis
Collaborative filtering		https://en.wikipedia.org/wiki/Collaborative_filtering
Combinatorics		https://en.wikipedia.org/wiki/Combinatorics
Command Line		https://en.wikipedia.org/wiki/Command-line_interface
Comptuer vision		https://en.wikipedia.org/wiki/Computer_vision
Conditional random field	CRF	https://en.wikipedia.org/wiki/Conditional_random_field
confidence interval		https://en.wikipedia.org/wiki/Confidence_interval
Confusion matrix		https://en.wikipedia.org/wiki/Confusion_matrix
Conjoint Analysis		https://en.wikipedia.org/wiki/Conjoint_analysis
Contingency Tables		https://en.wikipedia.org/wiki/Contingency_table
Convolutional Networks Visualization		https://en.wikipedia.org/wiki/Convolutional_neural_network
Convolutional neural network	CNN	https://en.wikipedia.org/wiki/Convolutional_neural_network
Correlation and dependence	Correlation	https://en.wikipedia.org/wiki/Correlation_and_dependence
Cross-industry standard process for data mining	CRISP-DM	https://en.wikipedia.org/wiki/Cross-industry_standard_process_for_data_mining
Cross-validation (statistics)	Cross-validation	https://en.wikipedia.org/wiki/Cross-validation_(statistics)
Cumulative Relative Frequency		https://en.wikipedia.org/wiki/Cumulative_frequency_analysis
Cybercrime 		https://en.wikipedia.org/wiki/Cybercrime
Data acquisition		https://en.wikipedia.org/wiki/Data_acquisition
Data analysis		https://en.wikipedia.org/wiki/Data_analysis
Data binning	Bucketing	https://en.wikipedia.org/wiki/Data_binning
Data Cleansing	Data Cleaning	https://en.wikipedia.org/wiki/Data_cleansing
Data Integration		https://en.wikipedia.org/wiki/Data_integration
Data Lake		https://en.wikipedia.org/wiki/Data_lake
Data Management		https://en.wikipedia.org/wiki/Data_management
Data Mining		https://en.wikipedia.org/wiki/Data_mining
Data pre-processing	Data Preprocessing	https://en.wikipedia.org/wiki/Data_pre-processing
Data Processing		https://en.wikipedia.org/wiki/Data_processing
Data science		https://en.wikipedia.org/wiki/Data_science
Data Visualization		https://en.wikipedia.org/wiki/Data_visualization
Data warehouse		https://en.wikipedia.org/wiki/Data_warehouse
Data Wrangling		https://en.wikipedia.org/wiki/Data_wrangling
Database Design		https://en.wikipedia.org/wiki/Database_design
DBSCAN		https://en.wikipedia.org/wiki/DBSCAN
Debugging		https://en.wikipedia.org/wiki/Debugging
Decision Tree Classification		https://en.wikipedia.org/wiki/Decision_tree_learning
Deep Belief Networks		https://en.wikipedia.org/wiki/Deep_belief_network
Deep Learning		https://en.wikipedia.org/wiki/Deep_learning
DeepDream		https://en.wikipedia.org/wiki/DeepDream
Deeplearning4j	DL4J	https://en.wikipedia.org/wiki/Deeplearning4j
Dell Boomi 		https://en.wikipedia.org/wiki/Dell_Boomi
Dependency Injection		https://en.wikipedia.org/wiki/Dependency_injection
Descriptive Statistics		https://en.wikipedia.org/wiki/Descriptive_statistics
Determinant		https://en.wikipedia.org/wiki/Determinant
Digital image processing	image processing	https://en.wikipedia.org/wiki/Digital_image_processing
Dimensionality Reduction	Dimension Reduction	https://en.wikipedia.org/wiki/Dimensionality_reduction
Discrete Distributions		https://en.wikipedia.org/wiki/Probability_distribution
Discretisation		https://en.wikipedia.org/wiki/Discretization
Document classification	Document catogorization	https://en.wikipedia.org/wiki/Document_classification
Dplyr		https://en.wikipedia.org/wiki/Dplyr
Dynamic Programming		https://en.wikipedia.org/wiki/Dynamic_programming
Econometrics		https://en.wikipedia.org/wiki/Econometrics
Elasticsearch		https://en.wikipedia.org/wiki/Elasticsearch
Ensemble learning	Ensemble methods	https://en.wikipedia.org/wiki/Ensemble_learning
Evolutionary Computation		https://en.wikipedia.org/wiki/Evolutionary_computation
Experimentation		https://en.wikipedia.org/wiki/Experiment
Exploratory Data Analysis	EDA__eda	https://en.wikipedia.org/wiki/Exploratory_data_analysis
Extreme learning machine		https://en.wikipedia.org/wiki/Extreme_learning_machine
F-test of equality of variances	equality of variances	https://en.wikipedia.org/wiki/F-test_of_equality_of_variances
Face detection		https://en.wikipedia.org/wiki/Face_detection
Facial recognition system	Face recognition	https://en.wikipedia.org/wiki/Facial_recognition_system
Factor analysis		https://en.wikipedia.org/wiki/Factor_analysis
Feature Engineering		https://en.wikipedia.org/wiki/Feature_engineering
Feature scaling		https://en.wikipedia.org/wiki/Feature_scaling
Feature selection		https://en.wikipedia.org/wiki/Feature_selection
Feedforward neural network		https://en.wikipedia.org/wiki/Feedforward_neural_network
Five-number summary	5 Number Summary	https://en.wikipedia.org/wiki/Five-number_summary
Forecasting		https://en.wikipedia.org/wiki/Forecasting
Fuzzy Logic		https://en.wikipedia.org/wiki/Fuzzy_logic
Gaussian Elimination		https://en.wikipedia.org/wiki/Gaussian_elimination
Generalized additive model	GAM	https://en.wikipedia.org/wiki/Generalized_additive_model
Generalized estimating equation	Generalized Estimating Equations (GEE)	https://en.wikipedia.org/wiki/Generalized_estimating_equation
Generative Adversarial Networks		https://en.wikipedia.org/wiki/Generative_adversarial_network
Genetic Algorithm		https://en.wikipedia.org/wiki/Genetic_algorithm
Geographic information system	GIS	https://en.wikipedia.org/wiki/Geographic_information_system
Geometric Transformations		https://en.wikipedia.org/wiki/Geometric_transformation
Getting Started with Predictive Modeling		https://en.wikipedia.org/wiki/Predictive_analytics
ggplot2		https://en.wikipedia.org/wiki/Ggplot2
GPT-3		https://en.wikipedia.org/wiki/GPT-3
Gradient		https://en.wikipedia.org/wiki/Gradient
Gradient boosting		https://en.wikipedia.org/wiki/Gradient_boosting
Gradient Descent		https://en.wikipedia.org/wiki/Gradient_descent
Graph theory		https://en.wikipedia.org/wiki/Graph_theory
Graphical model	GM	https://en.wikipedia.org/wiki/Graphical_model
Greedy Algorithm		https://en.wikipedia.org/wiki/Greedy_algorithm
Histogram Equalization		https://en.wikipedia.org/wiki/Histogram_equalization
Hopfield network		https://en.wikipedia.org/wiki/Hopfield_network
Hyperparameter optimization		https://en.wikipedia.org/wiki/Hyperparameter_optimization
ID3 algorithm	ID3	https://en.wikipedia.org/wiki/ID3_algorithm
Image Pyramids		https://en.wikipedia.org/wiki/Pyramid_(image_processing)
Image segmentation		https://en.wikipedia.org/wiki/Image_segmentation
Importance sampling		https://en.wikipedia.org/wiki/Importance_sampling
Information retrieval		https://en.wikipedia.org/wiki/Information_retrieval_query_language
Interquartile Range	IQR	https://en.wikipedia.org/wiki/Interquartile_range
Interval estimation		https://en.wikipedia.org/wiki/Interval_estimation
Invertible matrix	matrix inverse	https://en.wikipedia.org/wiki/Invertible_matrix
Julia (programming language)	Julia	https://en.wikipedia.org/wiki/Julia_(programming_language)
K Means Clustering		https://en.wikipedia.org/wiki/K-means_clustering
K Nearest Neighbors		https://en.wikipedia.org/wiki/K-nearest_neighbors_algorithm
Keras		https://en.wikipedia.org/wiki/Keras
Kernel method		https://en.wikipedia.org/wiki/Kernel_method
Kernel principal component analysis	Kernel PCA	https://en.wikipedia.org/wiki/Kernel_principal_component_analysis
Lasso (statistics)	Lasso Regression	https://en.wikipedia.org/wiki/Lasso_(statistics)
Latent Semantic Analysis		https://en.wikipedia.org/wiki/Latent_semantic_analysis
Learning rate		https://en.wikipedia.org/wiki/Learning_rate
LightGBM		https://en.wikipedia.org/wiki/LightGBM
Line chart		https://en.wikipedia.org/wiki/Line_chart
Linear Discriminant Analysis		https://en.wikipedia.org/wiki/Linear_discriminant_analysis
Linear independence		https://en.wikipedia.org/wiki/Linear_independence
Linear Regression		https://en.wikipedia.org/wiki/Linear_regression
Local regression		https://en.wikipedia.org/wiki/Local_regression
Logistic Regression		https://en.wikipedia.org/wiki/Logistic_regression
Long short-term memory	LSTM	https://en.wikipedia.org/wiki/Long_short-term_memory
Loss Function		https://en.wikipedia.org/wiki/Loss_function
Machine learning		https://en.wikipedia.org/wiki/Machine_learning
Margin classifier		https://en.wikipedia.org/wiki/Margin_classifier
Markov decision process	Markov decision processess	https://en.wikipedia.org/wiki/Markov_decision_process
MATLAB		https://en.wikipedia.org/wiki/MATLAB
Matplotlib		https://en.wikipedia.org/wiki/Matplotlib
Matrix		https://en.wikipedia.org/wiki/Matrix_(mathematics)
Maximum likelihood estimation		https://en.wikipedia.org/wiki/Maximum_likelihood_estimation
Metaheuristic		https://en.wikipedia.org/wiki/Metaheuristic
Metaprogramming		https://en.wikipedia.org/wiki/Metaprogramming
Microsoft Azure	Azure____MS Azure	https://en.wikipedia.org/wiki/Microsoft_Azure
Minitab		https://en.wikipedia.org/wiki/Minitab
Mircrosoft Power BI	Power BI	https://en.wikipedia.org/wiki/Microsoft_Power_BI
Missing Values		https://en.wikipedia.org/wiki/Missing_data
Mixture Model		https://en.wikipedia.org/wiki/Mixture_model
MLOps		https://en.wikipedia.org/wiki/MLOps
MNIST		https://en.wikipedia.org/wiki/MNIST_database
Model selection		https://en.wikipedia.org/wiki/Model_selection
Model Training		https://en.wikipedia.org/wiki/Training,_validation,_and_test_sets
MongoDB		https://en.wikipedia.org/wiki/MongoDB
Monte Carlo		https://en.wikipedia.org/wiki/Monte_Carlo
Multi Product Optimization		https://en.wikipedia.org/wiki/Multi-objective_optimization
Multi-armed bandit		https://en.wikipedia.org/wiki/Multi-armed_bandit
Multi-class Classification		https://en.wikipedia.org/wiki/Multiclass_classification
Multi-label classification		https://en.wikipedia.org/wiki/Multi-label_classification
Multilayer perceptron	MLP	https://en.wikipedia.org/wiki/Multilayer_perceptron
Multinomial logistic regression		https://en.wikipedia.org/wiki/Multinomial_logistic_regression
Multiple Line Chart		https://en.wikipedia.org/wiki/Chart
Naive Bayes Classifiers		https://en.wikipedia.org/wiki/Naive_Bayes_classifier
Named Entity Recognition		https://en.wikipedia.org/wiki/Named-entity_recognition
Natural Language Processing (NLP) Tutorials		https://en.wikipedia.org/wiki/Natural_language_processing
Neural Style Transfer		https://en.wikipedia.org/wiki/Neural_Style_Transfer
Neuroph		https://en.wikipedia.org/wiki/Neuroph
Nonlinear regression 		https://en.wikipedia.org/wiki/Nonlinear_regression
Normal distribution		https://en.wikipedia.org/wiki/Normal_distribution
Null Parameters		https://en.wikipedia.org/wiki/Null_distribution
NumPy	Numerical python___numpy___Numpy	https://en.wikipedia.org/wiki/NumPy
Object detection	YOLO___yolo____Yolo____YOLO (Algorithm)	https://en.wikipedia.org/wiki/Object_detection
Object recognition		https://en.wikipedia.org/wiki/Outline_of_object_recognition
OpenAI		https://en.wikipedia.org/wiki/OpenAI
OpenCV		https://en.wikipedia.org/wiki/OpenCV
Optical character recognition	OCR	https://en.wikipedia.org/wiki/Optical_character_recognition
Ordered logit		https://en.wikipedia.org/wiki/Ordered_logit
Ordinary least squares		https://en.wikipedia.org/wiki/Ordinary_least_squares
Overfitting 		https://en.wikipedia.org/wiki/Overfitting
PageRank		https://en.wikipedia.org/wiki/PageRank
Pandas (software)	Pandas	https://en.wikipedia.org/wiki/Pandas_(software)
Parallelization		https://en.wikipedia.org/wiki/Parallel_computing
Part-of-speech tagging		https://en.wikipedia.org/wiki/Part-of-speech_tagging
Particle Swarm Optimization		https://en.wikipedia.org/wiki/Particle_swarm_optimization
Pathfinding		https://en.wikipedia.org/wiki/Pathfinding
